parcel_id,robust_rank,parcel_area_acres,dist_to_waterbody_km,dist_to_flowline_km,intersects_waterbody,p_top20,mc_mean_score,mc_score_std,confidence_score
804168,1,118.40349128994094,0.015536944186885147,0.012436574643384697,0,0.399,0.6782888,0.17404655,0.36211722070872787
214268,2,75.15199549021422,0.03675551952384044,0.054085461013756816,0,0.241,0.6736144,0.17562905,0.2647956033706665
522658,3,155.16008797194488,0.011800785833994425,0.10274606159635755,0,0.383,0.679607,0.17197582,0.35581676620543
858777,4,7.07842034993592,0.0,0.00955003789087666,0,0.244,0.6696034,0.1790227,0.2611880557924509
718163,5,5.096463642288508,0.0015835795937498354,0.01036910237550324,0,0.228,0.66939914,0.17909813,0.2514678751334548
857647,6,15.908806037802211,0.051799928440170846,0.018164965538094702,0,0.0,0.66923594,0.17835079,0.11585870422422886
278089,7,9.976369992935894,0.05603701484514332,0.005025056506743876,0,0.0,0.66893125,0.17866124,0.11536401547491551
214269,8,2.5886447062513036,0.01547682927851358,0.014269792702160548,0,0.074,0.6688753,0.17912363,0.15902724898010492
178407,9,3.1051452523726897,0.030512052967435057,0.007263938418049065,0,0.0,0.6687845,0.1790686,0.11471493858844042
298895,10,2.976511702612369,0.035339336723831355,0.0027635902165920687,0,0.006,0.6687744,0.17907576,0.11830351312309503
729965,11,0.13775684399413304,0.01806268848814449,3.5978252101903115e-05,0,0.177,0.6689028,0.17929435,0.22055521896928548
459979,12,0.44808469378630206,0.02127574846036094,0.0004452167100548531,0,0.129,0.6688632,0.17926377,0.19180392807126045
568399,13,0.17641294205039104,0.0200039035513336,0.0016771452084259632,0,0.13,0.6688402,0.17927507,0.19238593957573175
972676,14,0.10561464291331303,0.014608669378859577,0.005388513582862923,0,0.166,0.66885924,0.17928344,0.21397259931117296
883599,15,8.457382422566356,0.0548329359277006,0.007869814160619179,0,0.0,0.66877526,0.17871848,0.11527282036840916
958769,16,0.1219463744311958,0.026029312227385342,0.0008638969903961253,0,0.067,0.6687445,0.179254,0.15461950257867574
970909,17,0.11019012798146599,0.019598213021177688,0.00665240108216898,0,0.06,0.668747,0.17925361,0.1504201284274459
134928,18,0.3232110776377329,0.026614360406605853,0.002874540578084845,0,0.038,0.668712,0.17923185,0.13725480063557627
930669,19,0.2010705932034936,0.015928440864934862,0.010271295721915857,0,0.071,0.6687503,0.17924747,0.1570299091771245
784616,20,0.16103714459033758,0.022239369330105747,0.005944472477285966,0,0.032,0.6687179,0.17924294,0.1336371334463358
