parcel_id,parcel_area_acres,intersects_waterbody,centroid_lat,centroid_lon,dist_to_waterbody_km,dist_to_flowline_km,acreage_score,water_score,flowline_score,water_intersection_penalty,baseline_score_v2,baseline_score_v3,mc_mean_score_v2,mc_score_std_v2,p_top20_v2,avg_rank_v2,robust_rank_v2,confidence_score_v2
804168,118.40349128994094,0,30.34547859255447,-97.9871545452002,0.015536944186885147,0.012436574643384697,0.024436250187055596,0.9986181807819945,0.9915349380050503,0.0,0.46268953635580246,0.5101105669291361,0.67396575,0.17409287,0.934,6.249,1,0.6604
324445,83.52096801693291,0,30.20945691038058,-97.93011215161692,0.16770358723662984,0.0017279430530318396,0.011973927762037442,0.9423393050371167,0.9991551334452677,0.0,0.4564824311890064,0.4885197820812073,0.653878,0.17242879,0.883,10.853,2,0.63348322734721
190649,117.74857667874285,0,30.24276296751073,-97.53353127538907,0.15887931380715917,0.030845949233157106,0.024202271785271755,0.9456029650477648,0.978434941882986,0.0,0.460150083410366,0.4914690137835625,0.65196323,0.16843198,0.889,11.557,3,0.6459296898186206
838573,66.03203966481286,0,30.265174634969092,-97.55922089669613,0.1722832740314684,0.011115111563751091,0.0057257368761214405,0.9406455065875254,0.9924752828893502,0.0,0.45440253342540754,0.48355157699218837,0.6489846,0.17274207,0.833,14.544,4,0.6027898048378527
214268,75.15199549021422,0,30.310360681460516,-97.52550529908017,0.03675551952384044,0.054085461013756816,0.008983982534227854,0.9907704847236576,0.9618978502658888,0.0,0.45723069683856865,0.494102706737389,0.6562039,0.17347033,0.809,14.81,5,0.5867779223663733
883689,55.18172017622196,0,30.121840149504813,-97.70425863564812,0.1906800852179375,0.003036542615977131,0.0018492919634934958,0.9338414407941649,0.9982239421592018,0.0,0.45297854576612706,0.4807218666518366,0.6474113,0.17348924,0.795,16.536,6,0.5783360262382775
522658,155.16008797194488,0,30.37664770637482,-97.86320224968665,0.011800785833994425,0.10274606159635755,0.03756811440204891,1.0,0.9272712704317461,0.0,0.46603746281006597,0.5042383112873736,0.6569442,0.16620937,0.771,17.656,7,0.5800491479992866
513121,90.11913075865472,0,30.172597188253846,-97.7636651475909,0.16853105229713863,0.042890454854901935,0.014331223731039403,0.9420332668516757,0.9698641468150916,0.0,0.4568487336461715,0.4837484212840407,0.64461094,0.16907303,0.754,18.13,8,0.5635108189448714
464416,72.87775926603332,0,30.129135644769576,-97.5887823515389,0.22298743966001233,0.0154017640569948,0.008171476372486702,0.92189255666391,0.9894249277149094,0.0,0.45430277889787263,0.47853849072839827,0.6425758,0.17053984,0.714,19.136,9,0.5362642014414072
201906,67.14485761399764,0,30.28765915262321,-97.48561398607512,0.1506666661281509,0.04703061735925647,0.006123308346927841,0.94864041510252,0.9669180330029531,0.0,0.4545707635719997,0.48103738530481055,0.6430737,0.17080583,0.67,21.933,10,0.5092754742577672
855742,56.5635581331213,0,30.228441058919184,-97.66106572037596,0.17862629033759042,0.036219382870749155,0.002342975004230786,0.9382995402220633,0.9746112400254696,0.0,0.4530452323194948,0.4775835975738283,0.64102644,0.17138386,0.645,23.602,11,0.4929960428625345
548458,128.0084962321754,0,30.400973746640986,-97.55819694008608,0.3478409188248522,0.008037976046399645,0.027867787164675632,0.8757154622665745,0.9946649533286037,0.0,0.45842513198972445,0.4755815229280309,0.63564765,0.1642317,0.536,25.245,12,0.4434265131115913
857666,71.43810741003045,0,30.21042214086604,-97.92239698015871,0.2917799069143349,0.011496558321460808,0.007657138419671042,0.8964496432947562,0.9922038477559944,0.0,0.45306755978586044,0.47120423174946124,0.6349618,0.1690313,0.506,27.237,13,0.41480315864682193
820454,91.64894873236571,0,30.44176577026729,-97.73505492191728,0.2302988052142657,0.05550321302077441,0.014877774927773695,0.919188446056576,0.9608889867815043,0.0,0.45591460906377657,0.4753732186371605,0.63421327,0.16624378,0.453,27.922,14,0.3891730254173279
868345,53.91828101950259,0,30.41713806862657,-97.55083330701763,0.2924529051343097,0.007213625359581812,0.0013979087303426538,0.8962007347137467,0.9952515561351181,0.0,0.4511626072342662,0.4686094860063189,0.6338441,0.17045681,0.453,30.826,15,0.3798479867756367
301097,63.0098583545778,0,30.092861102042214,-97.71632172935855,0.24386027052846462,0.048376311220079446,0.004646015732663998,0.9141727342945261,0.9659604456459083,0.0,0.4526007166256768,0.4697669172838715,0.6308972,0.16818765,0.336,34.851,16,0.31467047624140976
300913,50.03311999456715,0,30.094407443977936,-97.64490220308554,0.29615550619228864,0.019655722760255984,9.874700037135058e-06,0.8948313266707059,0.9863978372374793,0.0,0.4505698658257732,0.4657339027987262,0.6299271,0.16966434,0.321,37.478,17,0.3024020257428288
783861,81.8429921444347,0,30.183063345544294,-97.62642434485552,0.30428127669176636,0.040534566665270944,0.011374444858211643,0.8918260081652434,0.971540582155015,0.0,0.45376727393706395,0.4675431413096818,0.62765086,0.16584738,0.006,38.483,18,0.12185041323900223
352920,57.91026149366776,0,30.53687407410011,-98.05291915344607,0.32886653118193826,0.020372607599989857,0.0028241056655259273,0.8827331448748555,0.9858877064573877,0.0,0.4509040784366579,0.4634095375866971,0.6266966,0.16823593,0.16,43.45,19,0.20896359952539206
271876,75.58895616751583,0,30.439465659178214,-97.46641043349514,0.35231836059800625,0.021593297902817627,0.009140093512925338,0.8740594791670204,0.9850190708524513,0.0,0.45246326106503654,0.46379170467705905,0.6256315,0.16640349,0.063,43.741,20,0.15481952889561654
